[1]	84.26
[1, 8]	97.36
[1, 8, 34]	97.3
[1, 8, 23, 34]	94.74
[1, 8, 21, 23, 34]	91.62
[1, 8, 21, 23, 30, 34]	89.1
[1, 8, 21, 23, 30, 34, 45]	86.58
[1, 8, 16, 21, 23, 30, 34, 45]	84.64
[1, 8, 16, 21, 22, 23, 30, 34, 45]	82.78
[1, 8, 16, 21, 22, 23, 30, 34, 42, 45]	82.04
[1, 8, 16, 21, 22, 23, 30, 33, 34, 42, 45]	80.48
[1, 8, 16, 21, 22, 23, 30, 33, 34, 42, 43, 45]	79.44
[1, 8, 16, 21, 22, 23, 30, 33, 34, 42, 43, 45, 50]	78.34
[1, 8, 16, 21, 22, 23, 27, 30, 33, 34, 42, 43, 45, 50]	77.16
[1, 8, 12, 16, 21, 22, 23, 27, 30, 33, 34, 42, 43, 45, 50]	76.68
[1, 8, 12, 16, 20, 21, 22, 23, 27, 30, 33, 34, 42, 43, 45, 50]	76.26
[1, 8, 12, 16, 17, 20, 21, 22, 23, 27, 30, 33, 34, 42, 43, 45, 50]	75.4
[1, 8, 12, 16, 17, 20, 21, 22, 23, 25, 27, 30, 33, 34, 42, 43, 45, 50]	75.2
[1, 8, 12, 16, 17, 20, 21, 22, 23, 25, 27, 30, 33, 34, 42, 43, 45, 47, 50]	75.24
[1, 8, 11, 12, 16, 17, 20, 21, 22, 23, 25, 27, 30, 33, 34, 42, 43, 45, 47, 50]	74.96
[1, 8, 11, 12, 16, 17, 20, 21, 22, 23, 25, 26, 27, 30, 33, 34, 42, 43, 45, 47, 50]	74.28
[1, 8, 10, 11, 12, 16, 17, 20, 21, 22, 23, 25, 26, 27, 30, 33, 34, 42, 43, 45, 47, 50]	74.12
[1, 8, 10, 11, 12, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 33, 34, 42, 43, 45, 47, 50]	73.96
[1, 8, 10, 11, 12, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 33, 34, 42, 43, 45, 46, 47, 50]	73.96
[1, 8, 10, 11, 12, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 33, 34, 39, 42, 43, 45, 46, 47, 50]	73.42
[1, 8, 10, 11, 12, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 33, 34, 39, 42, 43, 44, 45, 46, 47, 50]	73.34
[1, 8, 10, 11, 12, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 33, 34, 39, 42, 43, 44, 45, 46, 47, 50]	72.9
[1, 8, 10, 11, 12, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 50]	72.54
[1, 8, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 50]	72.32
[1, 8, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 48, 50]	72.7
[1, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 48, 50]	72.44
[1, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50]	72.04
[1, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.88
[1, 3, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.56
[1, 3, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.44
[1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.62
[1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.38
[1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	71.06
[1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.7
[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.18
[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.12
[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.42
[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.2
[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	69.84
[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	70.04
[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	69.82
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	69.8
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	69.54
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	69.14
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	68.96
