[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	72.4
[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]	74.6
[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]	77.2
[1, 2, 4, 5, 6, 8, 9, 10, 11]	79.6
[1, 2, 4, 5, 6, 8, 10, 11]	81.6
[1, 2, 4, 5, 6, 10, 11]	84.0
[2, 4, 5, 6, 10, 11]	84.4
[2, 5, 6, 10, 11]	88.0
[2, 6, 10, 11]	90.4
[2, 6, 10]	93.2
[2, 6]	95.4
[2]	82.6
